,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Area,Item,hg/ha_yield
0,1990,1485.0,121.0,16.37,Albania,Maize,36613
1,1990,1485.0,121.0,16.37,Albania,Potatoes,66667
2,1990,1485.0,121.0,16.37,Albania,"Rice, paddy",23333
3,1990,1485.0,121.0,16.37,Albania,Sorghum,12500
4,1990,1485.0,121.0,16.37,Albania,Soybeans,7000
5,1990,1485.0,121.0,16.37,Albania,Wheat,30197
6,1991,1485.0,121.0,15.36,Albania,Maize,29068
7,1991,1485.0,121.0,15.36,Albania,Potatoes,77818
8,1991,1485.0,121.0,15.36,Albania,"Rice, paddy",28538
9,1991,1485.0,121.0,15.36,Albania,Sorghum,6667
10,1991,1485.0,121.0,15.36,Albania,Soybeans,6066
11,1991,1485.0,121.0,15.36,Albania,Wheat,20698
12,1992,1485.0,121.0,16.06,Albania,Maize,24876
13,1992,1485.0,121.0,16.06,Albania,Potatoes,82920
14,1992,1485.0,121.0,16.06,Albania,"Rice, paddy",40000
15,1992,1485.0,121.0,16.06,Albania,Sorghum,3747
16,1992,1485.0,121.0,16.06,Albania,Soybeans,4507
17,1992,1485.0,121.0,16.06,Albania,Wheat,24388
18,1993,1485.0,121.0,16.05,Albania,Maize,24185
19,1993,1485.0,121.0,16.05,Albania,Potatoes,98446
20,1993,1485.0,121.0,16.05,Albania,"Rice, paddy",41786
21,1993,1485.0,121.0,16.05,Albania,Soybeans,7998
22,1993,1485.0,121.0,16.05,Albania,Wheat,29976
23,1994,1485.0,201.0,16.96,Albania,Maize,25848
24,1994,1485.0,201.0,16.96,Albania,Potatoes,81404
25,1994,1485.0,201.0,16.96,Albania,Soybeans,7927
26,1994,1485.0,201.0,16.96,Albania,Wheat,24745
27,1995,1485.0,251.0,15.67,Albania,Maize,31300
28,1995,1485.0,251.0,15.67,Albania,Potatoes,111323
29,1995,1485.0,251.0,15.67,Albania,Soybeans,11791
30,1995,1485.0,251.0,15.67,Albania,Wheat,28703
31,1996,1485.0,313.96,15.64,Albania,Maize,32604
32,1996,1485.0,313.96,15.64,Albania,Potatoes,106138
33,1996,1485.0,313.96,15.64,Albania,Soybeans,15480
34,1996,1485.0,313.96,15.64,Albania,Wheat,21741
35,1997,1485.0,376.93,15.9,Albania,Maize,31862
36,1997,1485.0,376.93,15.9,Albania,Potatoes,109874
37,1997,1485.0,376.93,15.9,Albania,Soybeans,12768
38,1997,1485.0,376.93,15.9,Albania,Wheat,28516
39,1998,1485.0,439.89,16.27,Albania,Maize,33416
40,1998,1485.0,439.89,16.27,Albania,Potatoes,127212
41,1998,1485.0,439.89,16.27,Albania,Soybeans,14327
42,1998,1485.0,439.89,16.27,Albania,Wheat,28037
43,1999,1485.0,502.86,16.57,Albania,Maize,37455
44,1999,1485.0,502.86,16.57,Albania,Potatoes,142018
45,1999,1485.0,502.86,16.57,Albania,Soybeans,17143
46,1999,1485.0,502.86,16.57,Albania,Wheat,24954
47,2000,1485.0,565.82,16.67,Albania,Maize,38811
48,2000,1485.0,565.82,16.67,Albania,Potatoes,141228
49,2000,1485.0,565.82,16.67,Albania,Soybeans,15000
50,2000,1485.0,565.82,16.67,Albania,Wheat,30455
51,2001,1485.0,628.79,16.59,Albania,Maize,38135
52,2001,1485.0,628.79,16.59,Albania,Potatoes,148818
53,2001,1485.0,628.79,16.59,Albania,Soybeans,20000
54,2001,1485.0,628.79,16.59,Albania,Wheat,28220
55,2002,1485.0,691.75,16.47,Albania,Maize,39460
56,2002,1485.0,691.75,16.47,Albania,Potatoes,153868
57,2002,1485.0,691.75,16.47,Albania,Soybeans,20000
58,2002,1485.0,691.75,16.47,Albania,Wheat,31617
59,2004,1485.0,817.68,16.16,Albania,Maize,46197
60,2004,1485.0,817.68,16.16,Albania,Potatoes,149346
61,2004,1485.0,817.68,16.16,Albania,Soybeans,13333
62,2004,1485.0,817.68,16.16,Albania,Wheat,31130
63,2005,1485.0,880.64,15.67,Albania,Maize,45442
64,2005,1485.0,880.64,15.67,Albania,Potatoes,167061
65,2005,1485.0,880.64,15.67,Albania,Soybeans,17500
66,2005,1485.0,880.64,15.67,Albania,Wheat,31582
67,2006,1485.0,943.61,15.92,Albania,Maize,50111
68,2006,1485.0,943.61,15.92,Albania,Potatoes,170745
69,2006,1485.0,943.61,15.92,Albania,Soybeans,20000
70,2006,1485.0,943.61,15.92,Albania,Wheat,30787
71,2007,1485.0,1006.57,16.67,Albania,Maize,46732
72,2007,1485.0,1006.57,16.67,Albania,Potatoes,188902
73,2007,1485.0,1006.57,16.67,Albania,Soybeans,20000
74,2007,1485.0,1006.57,16.67,Albania,Wheat,35496
75,2008,1485.0,1069.54,16.71,Albania,Maize,50000
76,2008,1485.0,1069.54,16.71,Albania,Potatoes,193878
77,2008,1485.0,1069.54,16.71,Albania,Soybeans,20000
78,2008,1485.0,1069.54,16.71,Albania,Wheat,40168
79,2009,1485.0,1132.5,16.73,Albania,Maize,55693
80,2009,1485.0,1132.5,16.73,Albania,Potatoes,219780
81,2009,1485.0,1132.5,16.73,Albania,Soybeans,16667
82,2009,1485.0,1132.5,16.73,Albania,Wheat,40229
83,2010,1485.0,1311.17,16.52,Albania,Maize,66790
84,2010,1485.0,1311.17,16.52,Albania,Potatoes,231111
85,2010,1485.0,1311.17,16.52,Albania,Soybeans,16667
86,2010,1485.0,1311.17,16.52,Albania,Wheat,39905
87,2011,1485.0,1302.63,16.45,Albania,Maize,59869
88,2011,1485.0,1302.63,16.45,Albania,Potatoes,242211
89,2011,1485.0,1302.63,16.45,Albania,Soybeans,18519
90,2011,1485.0,1302.63,16.45,Albania,Wheat,42301
91,2012,1485.0,766.25,16.7,Albania,Maize,67290
92,2012,1485.0,766.25,16.7,Albania,Potatoes,250538
93,2012,1485.0,766.25,16.7,Albania,Soybeans,13333
94,2012,1485.0,766.25,16.7,Albania,Wheat,41096
95,2013,1485.0,982.32,17.41,Albania,Maize,69533
96,2013,1485.0,982.32,17.41,Albania,Potatoes,260110
97,2013,1485.0,982.32,17.41,Albania,Soybeans,10000
98,2013,1485.0,982.32,17.41,Albania,Wheat,41292
99,1990,89.0,1828.92,17.48,Algeria,Maize,16500
100,1990,89.0,1828.92,17.48,Algeria,Potatoes,78936
101,1990,89.0,1828.92,17.48,Algeria,"Rice, paddy",28000
102,1990,89.0,1828.92,17.48,Algeria,Sorghum,16571
103,1990,89.0,1828.92,17.48,Algeria,Wheat,6315
104,1991,89.0,2461.8,16.26,Algeria,Maize,19231
105,1991,89.0,2461.8,16.26,Algeria,Potatoes,90747
106,1991,89.0,2461.8,16.26,Algeria,"Rice, paddy",26786
107,1991,89.0,2461.8,16.26,Algeria,Sorghum,24231
108,1991,89.0,2461.8,16.26,Algeria,Wheat,10809
109,1992,89.0,1215.47,16.27,Algeria,Maize,22828
110,1992,89.0,1215.47,16.27,Algeria,Potatoes,107917
111,1992,89.0,1215.47,16.27,Algeria,"Rice, paddy",24733
112,1992,89.0,1215.47,16.27,Algeria,Sorghum,40000
113,1992,89.0,1215.47,16.27,Algeria,Wheat,9939
114,1993,89.0,1021.89,17.0,Algeria,Maize,12500
115,1993,89.0,1021.89,17.0,Algeria,Potatoes,111215
116,1993,89.0,1021.89,17.0,Algeria,"Rice, paddy",23111
117,1993,89.0,1021.89,17.0,Algeria,Sorghum,50000
118,1993,89.0,1021.89,17.0,Algeria,Wheat,8097
119,1994,89.0,1255.02,17.88,Algeria,Maize,4512
120,1994,89.0,1255.02,17.88,Algeria,Potatoes,95078
121,1994,89.0,1255.02,17.88,Algeria,"Rice, paddy",21374
122,1994,89.0,1255.02,17.88,Algeria,Wheat,7999
123,1995,89.0,2697.09,17.36,Algeria,Maize,16115
124,1995,89.0,2697.09,17.36,Algeria,Potatoes,136768
125,1995,89.0,2697.09,17.36,Algeria,"Rice, paddy",19598
126,1995,89.0,2697.09,17.36,Algeria,Sorghum,12667
127,1995,89.0,2697.09,17.36,Algeria,Wheat,8924
128,1996,89.0,479.77,16.76,Algeria,Maize,17154
129,1996,89.0,479.77,16.76,Algeria,Potatoes,134629
130,1996,89.0,479.77,16.76,Algeria,"Rice, paddy",17861
131,1996,89.0,479.77,16.76,Algeria,Sorghum,14750
132,1996,89.0,479.77,16.76,Algeria,Wheat,13090
133,1997,89.0,401.22,17.84,Algeria,Maize,21417
134,1997,89.0,401.22,17.84,Algeria,Potatoes,141042
135,1997,89.0,401.22,17.84,Algeria,"Rice, paddy",15000
136,1997,89.0,401.22,17.84,Algeria,Sorghum,40000
137,1997,89.0,401.22,17.84,Algeria,Wheat,8016
